screen_name_binary,name_binary,description_binary,status_binary,verified,followers_count,friends_count,statuses_count,listed_count_binary,bot
False,False,False,False,False,16,1862,392,True,1
False,False,True,False,False,268,99,5099,True,1
False,False,False,False,False,742,38,367778,True,1
True,True,True,True,False,61,31,627,True,1
False,False,True,True,False,105,1,570,True,1
False,False,False,True,False,26,35,9117,True,1
False,False,False,False,False,13,1,1035,True,1
False,False,True,False,False,7724,22,16682,True,1
False,False,False,True,False,38413,2,146227,True,1
False,False,False,False,False,124,158,3597,True,1
True,True,True,False,False,142,14,26,True,1
True,True,False,True,False,434,0,3033,True,1
False,False,False,False,False,9,462,72,True,1
False,False,True,True,False,44,0,1220,True,1
False,False,False,False,False,505,3673,595,True,1
True,True,True,True,False,67078,0,12064,True,1
True,False,False,True,False,19048,2,220592,True,1
False,False,True,False,False,69508,70633,423314,True,1
False,False,False,False,False,0,100,0,True,1
True,True,True,False,False,30,0,1560,True,1
False,False,False,False,False,1,116,1,True,1
False,False,True,True,False,0,34,61,True,1
False,False,True,False,False,261,1,4776,True,1
False,False,True,False,False,1058,1,7678,True,1
True,True,True,False,False,15,1,75,True,1
False,False,False,True,False,14,0,3422,True,1
False,False,False,False,False,2,106,1,True,1
True,True,True,False,False,344,24,161,True,1
False,False,True,True,False,78,221,1953,True,1
True,True,False,True,False,21,19,1160,True,1
False,False,False,True,False,12,33,65,True,1
False,False,True,False,False,669,7,21522,True,1
False,False,False,False,False,0,34,0,True,1
True,True,True,True,False,324,0,6664,True,1
False,False,False,False,False,283,443,2864,True,1
False,False,True,True,False,95,3,2464,True,1
True,True,True,False,False,571,15,1181,True,1
False,False,False,False,False,20,1827,387,True,1
False,False,False,False,False,3,523,113,True,1
True,False,True,True,False,16,25,150,True,1
True,True,False,True,False,782,0,276,True,1
False,False,True,False,False,6,0,241,True,1
False,False,True,False,False,187,1,10881,True,1
True,True,True,True,False,659,806,9565,True,1
False,False,False,False,False,9,89,4,True,1
False,False,True,False,False,40,0,884,True,1
True,False,True,False,False,2,350,34,True,1
False,False,False,False,False,1,365,25,True,1
True,True,True,True,False,160,3,4080,True,1
True,True,True,False,False,972,43,7460,True,1
False,False,False,False,False,34,22,19078,True,1
False,True,False,False,False,176,5,5685,True,1
True,True,True,True,False,156,1,22280,True,1
False,False,False,False,False,736,3482,681,True,1
False,False,False,False,False,2,323,34,True,1
True,True,False,True,False,76,0,183,True,1
False,False,False,False,False,970,1642,976,True,1
True,True,True,True,False,32,0,1038,True,1
True,True,False,True,False,762,317,40206,True,1
True,True,True,True,False,231,0,622,True,1
False,False,True,False,False,7,664,187,True,1
True,True,True,False,False,531,1,25992,True,1
True,True,False,True,False,23,0,99,True,1
False,False,False,False,False,3,49,1,True,1
True,True,False,True,False,139,7,497,True,1
False,False,False,False,False,66,601,1697,True,1
True,True,True,True,False,693,386,3271,True,1
False,False,False,True,False,3,57,1,True,1
True,True,False,False,False,0,60,0,True,1
False,True,False,True,False,55,1,1841755,True,1
False,False,False,True,False,64,32,4269,True,1
True,True,False,False,False,102,2,51833,True,1
False,False,False,False,False,0,290,35,True,1
False,False,False,False,False,1214,2573,415,True,1
False,False,False,False,False,18,3,1817,True,1
False,False,True,True,False,255,5,288,True,1
True,False,False,False,False,72,0,2233,True,1
False,False,True,False,False,253,57,36435,True,1
False,False,False,False,False,0,346,39,True,1
True,True,True,False,False,244,0,14990,True,1
True,False,False,True,False,20,1,1578,True,1
False,False,False,False,False,0,68,1,True,1
False,False,True,False,False,1929,2753,10337,True,1
True,True,True,False,False,660,0,4773,True,1
True,False,True,True,False,358,1,42988,True,1
False,False,False,False,False,1,259,33,True,1
False,True,False,False,False,25,897,20,True,1
False,False,False,False,False,2,97,0,True,1
True,True,True,False,False,1056,1576,87824,True,1
True,True,True,True,False,17504,0,27782,True,1
False,False,False,False,False,12,2034,476,True,1
False,False,False,False,False,68,1,401,True,1
False,False,True,False,False,12,0,156,True,1
True,False,True,True,False,6027,0,116980,True,1
True,True,True,True,False,3947,4728,91770,True,1
False,False,False,False,False,25,1935,368,True,1
False,False,False,False,False,3,519,107,True,1
False,False,False,True,False,3,6,17,True,1
False,True,True,True,False,560,0,17873,True,1
False,False,False,True,False,0,30,60,True,1
False,True,False,True,False,12,1,692,True,1
False,False,False,False,False,4,259,12,True,1
True,True,False,False,False,0,100,0,True,1
True,True,False,False,False,17,500,4,True,1
False,False,False,False,False,49,1537,1,True,1
True,True,True,True,False,638,60,4647,True,1
False,True,True,False,False,21172,20058,80502,True,1
True,True,True,True,False,547,650,6857,True,1
False,False,False,False,False,0,34,71,True,1
False,False,True,True,False,116,1,1031,True,1
True,True,True,True,False,194,3,5652,True,1
False,False,False,False,False,12368,0,587,True,1
True,False,True,True,False,2682,403,72033,True,1
False,False,False,False,False,176,2,23319,True,1
False,True,False,True,False,160,12,14279,True,1
True,True,True,True,False,18,0,1590,True,1
True,True,True,True,False,35,1,4402,True,1
False,False,False,False,False,5,714,189,True,1
False,False,False,False,False,1829,8,27851,True,1
True,True,True,False,False,1,262,28,True,1
False,False,True,False,False,0,26,57,True,1
True,True,True,True,False,152,0,3301,True,1
False,False,False,False,False,24,2000,315,True,1
True,True,False,True,False,162,0,20469,True,1
False,False,True,True,False,62,0,166,True,1
True,True,False,True,False,107,334,5394,True,1
False,False,False,False,False,0,231,20,True,1
True,True,True,True,False,509,35,10551,True,1
True,True,True,True,False,288,1,3427,True,1
False,False,False,True,False,117,353,2853,True,1
False,False,False,False,False,198,2,11675,True,1
False,False,False,False,False,2,12,0,True,1
True,True,True,True,False,873,8,20734,True,1
False,False,True,False,False,99,0,75,True,1
False,False,False,False,False,134,0,7597,True,1
True,False,True,False,False,15,1,5017,True,1
True,True,False,False,False,4,47,1,True,1
False,False,True,False,False,145,1,6758,True,1
False,False,False,False,False,19,1952,420,True,1
False,False,False,False,False,1,236,24,True,1
True,False,True,False,False,41,1,3048,True,1
False,False,False,False,False,1,80,1,True,1
False,False,True,False,False,1229,83,614,True,1
False,False,False,False,False,1,341,42,True,1
True,True,True,False,False,167,5,607,True,1
True,True,True,True,False,1129,7,23557,True,1
False,False,False,False,False,0,22,1,True,1
False,False,False,True,False,3,0,1050,True,1
True,True,True,True,False,505,13,5109,True,1
True,False,True,True,False,15,0,31365,True,1
False,False,True,False,False,16,1,1832,True,1
False,False,False,False,False,41,394,4,True,1
False,False,True,True,False,549,370,4658,True,1
False,False,False,False,False,0,60,10,True,1
False,False,False,True,False,0,43,86,True,1
False,False,False,False,False,102,3,10873,True,1
False,True,True,False,False,578,17,5234,True,1
False,False,False,False,False,1,34,98,True,1
False,False,False,True,False,1456,12,72096,True,1
False,False,False,False,False,0,1,0,True,1
False,False,False,False,False,14,253,0,True,1
False,False,False,False,False,506,11,41052,True,1
False,False,True,True,False,307,0,423,True,1
True,True,True,True,False,518,5,94196,True,1
False,False,False,False,False,0,118,0,True,1
False,False,False,False,False,1,4,4,True,1
False,False,False,False,False,50,2,1228,True,1
False,False,True,False,False,3,336,39,True,1
True,True,True,True,False,394,0,7956,True,1
True,False,False,False,False,428,410,16989,True,1
False,True,True,True,False,630,4,15036,True,1
False,False,False,False,False,928,20,3421,True,1
False,False,True,False,False,44,5,2396,True,1
False,False,False,False,False,20,0,50,True,1
True,True,True,True,False,5831,57,457649,True,1
False,False,True,False,False,26,0,6832,True,1
False,False,True,False,False,10014,27,14473,True,1
False,False,False,False,False,8939,6003,5846,True,1
True,True,False,False,False,2,386,41,True,1
False,False,False,False,False,467,956,5748,True,1
False,False,True,True,False,94,1,2383,True,1
False,False,True,False,False,6664,1,6025,True,1
False,False,False,False,False,0,335,32,True,1
True,True,False,True,False,4,0,1469,True,1
False,False,True,False,False,37,35,9,True,1
True,True,False,False,False,0,247,24,True,1
False,False,False,False,False,14,214,3,True,1
False,False,True,True,False,537,1,281,True,1
False,False,False,False,False,284,66,5986,True,1
False,False,False,True,False,0,27,60,True,1
False,False,False,False,False,80,0,10794,True,1
True,True,True,True,False,120,836,8,True,1
True,True,True,True,False,293,344,8638,True,1
False,True,True,False,False,243,4,69595,True,1
True,True,True,True,False,18,3,1456,True,1
False,True,True,True,False,79,80,901,True,1
False,False,False,False,False,576,31,2370,True,1
False,False,False,True,False,2,42,39,True,1
False,False,False,False,False,0,349,77,True,1
False,False,True,False,False,21,0,1343,True,1
False,False,True,False,False,16,1,2001,True,1
False,False,True,True,False,239,0,22089,True,1
False,False,False,False,False,9968,2,8782,True,1
False,False,False,False,False,0,223,24,True,1
False,False,False,False,False,8,86,3,True,1
False,False,False,False,False,906,2434,528,True,1
False,False,False,False,False,1,352,33,True,1
True,True,True,False,False,1419,1,32244,True,1
False,False,True,False,False,39,0,303,True,1
False,False,False,False,False,835,2290,17259,True,1
False,False,False,False,False,2,360,60,True,1
True,False,False,True,False,856,1078,130262,True,1
False,False,False,False,False,240,45,1993,True,1
True,False,True,True,False,4213,0,4364,True,1
True,False,False,False,False,77,490,15,True,1
False,False,True,False,False,0,336,23,True,1
True,True,True,True,False,172,5,3497,True,1
True,True,True,True,False,213,0,1063,True,1
False,False,False,False,False,379,12,22371,True,1
True,False,True,False,False,335,0,17375,True,1
False,False,False,False,False,102,86,1,True,1
False,True,True,False,False,52,0,93310,True,1
True,True,True,True,False,5631,6,6574,True,1
False,False,False,False,False,10,15,3,True,1
False,False,True,True,False,66,1,70,True,1
True,False,False,True,False,4965,0,67870,True,1
True,True,True,True,False,14917,227,53398,True,1
False,False,True,True,False,20,0,42453,True,1
True,True,True,False,False,803,31,808,True,1
True,True,True,True,False,164,0,2714,True,1
True,True,False,True,False,17,1,1522,True,1
True,False,True,False,False,9,0,6,True,1
False,False,False,False,False,9632,0,13936,True,1
False,False,False,False,False,0,86,0,True,1
False,False,False,False,False,6,109,2,True,1
True,False,True,False,False,1784,43,389,True,1
False,False,False,True,False,79,0,4007,True,1
False,False,False,False,False,96,29,195,True,1
False,False,False,True,False,600,818,1787,True,1
False,False,True,False,False,52,2,702,True,1
True,True,True,True,False,184,0,1125,True,1
False,True,True,False,False,945,2027,13935,True,1
True,True,True,True,False,67,0,886,True,1
False,False,False,False,False,1,29,72,True,1
True,True,False,False,False,338,471,260,True,1
False,False,False,False,False,2925,3,708,True,1
False,False,False,True,False,10,0,10370,True,1
False,False,False,False,False,47,197,1,True,1
False,False,False,False,False,54,1351,6,True,1
False,False,False,False,False,0,9,0,True,1
True,False,True,True,False,209,16,21278,True,1
True,True,True,False,False,335,3,4934,True,1
False,False,False,True,False,1,369,36,True,1
True,True,True,False,False,62,0,4106,True,1
True,True,True,True,False,155,0,14702,True,1
True,True,True,True,False,125,1,3201,True,1
False,False,True,True,False,499,53,2592,True,1
False,False,False,False,False,2,1,1360,True,1
False,False,False,False,False,70,5,4310,True,1
True,True,False,False,False,305,4,112538,True,1
True,True,False,True,False,956,0,434,True,1
False,False,False,False,False,543,3911,0,True,1
False,False,True,False,False,37,0,0,True,1
False,False,True,True,False,13,164,5,True,1
False,False,True,False,False,107,30,11151,True,1
False,False,False,False,False,34284,17397,191383,True,1
False,False,False,False,False,273,37,10115,True,1
False,False,False,False,False,8,45,5,True,1
False,False,False,False,False,3459,2282,57256,True,1
True,False,True,False,False,275,1,1961,True,1
True,True,False,True,False,1325,1797,18265,True,1
True,True,True,False,False,1690,0,15530,True,1
False,False,False,False,False,0,21,1,True,1
False,False,True,True,False,71,0,1490,True,1
False,False,False,False,False,2,501,130,True,1
False,False,False,False,False,4856,2162,1223,True,1
False,False,False,False,False,354,1,29635,True,1
False,False,False,False,False,0,39,0,True,1
True,True,False,True,False,455,480,6320,True,1
True,True,False,False,False,1,341,36,True,1
False,False,False,False,False,0,243,18,True,1
False,True,True,False,False,128,1814,18,True,1
False,False,False,False,False,3,39,3,True,1
True,True,True,False,False,151,1437,5,True,1
False,False,True,True,False,137,0,86797,True,1
True,False,True,True,False,2108,3,49270,True,1
False,False,False,False,False,153,0,2072,True,1
False,False,False,False,False,0,27,127,True,1
False,True,False,True,False,41,1,673,True,1
True,True,True,True,False,460,65,9058,True,1
False,True,True,False,False,1569,4882,112,True,1
False,False,False,False,False,7852,1,27610,True,1
True,True,True,False,False,50,0,926,True,1
False,False,True,False,False,74,7,80949,True,1
False,False,True,True,False,2108,1,5619,True,1
False,False,True,False,False,0,266,35,True,1
False,False,True,False,False,1474799,1,20990,True,1
False,False,False,False,False,396,0,3608,True,1
True,True,True,False,False,166,25,3622,True,1
True,False,True,True,False,5388,0,31751,True,1
False,False,False,False,False,8,1,258,True,1
False,False,False,False,False,8063,1,119,True,1
False,False,True,False,False,148,0,1723,True,1
False,False,False,False,True,7154703,240,5995,True,1
False,False,False,False,False,9,484,109,True,1
True,True,True,True,False,47,1,2610,True,1
False,False,False,False,False,3,38,5,True,1
False,False,True,False,False,13,5,10693,True,1
False,False,True,False,False,1655947,0,480858,True,1
False,False,True,False,False,2149,1,3741,True,1
False,False,False,False,False,1,261,21,True,1
False,False,False,False,False,646,1221,26729,True,1
False,False,True,True,False,18672,0,18270,True,1
False,False,True,True,False,16,1,1237,True,1
False,False,False,False,False,14,1978,426,True,1
False,False,False,False,False,4,102,0,True,1
True,True,False,True,False,280,48,4722,True,1
True,True,True,False,False,147,0,1388,True,1
True,True,True,True,False,20,0,5131,True,1
False,False,False,False,False,918,0,92849,True,1
False,False,False,False,False,12,64,7,True,1
True,True,True,True,False,1381,0,1292,True,1
False,False,False,False,False,4948,296,41190,True,1
False,False,False,False,False,27,2257,323,True,1
False,False,False,False,False,0,30,0,True,1
False,True,False,False,False,0,18,0,True,1
False,False,False,True,False,0,44,106,True,1
False,False,True,False,False,2,51,125,True,1
True,False,True,True,False,213,213,5988,True,1
False,True,True,True,False,189,366,36,True,1
False,True,False,False,False,166,1,17017,True,1
True,True,True,True,False,136,1,34446,True,1
True,True,True,True,False,100,1,6605,True,1
False,False,False,False,False,98,274,37,True,1
True,True,True,True,False,90,1,6703,True,1
False,False,True,False,False,7,0,5669,True,1
True,True,True,True,False,292,1,1958,True,1
False,False,False,True,False,4198,3,158639,True,1
False,False,False,False,False,60,0,1476,True,1
False,False,False,False,False,1,74,1,True,1
True,True,False,True,False,4355,2,26381,True,1
True,True,True,True,False,74,0,4415,True,1
False,False,False,False,False,3,270,22,True,1
False,False,True,False,False,3,631,177,True,1
False,False,False,False,False,9,93,8,True,1
False,False,False,False,False,263,13,452,True,1
False,False,True,True,False,8,0,528,True,1
False,True,True,True,False,30,564,22,True,1
False,False,True,True,False,5528,117,5201,True,1
False,False,False,False,False,1,495,97,True,1
True,True,True,True,False,274,2,15340,True,1
False,False,False,False,False,1640,26,19151,True,1
False,False,False,False,False,689,4,46115,True,1
False,False,False,False,False,647,0,75704,True,1
False,False,True,True,False,1870,4,16468,True,1
False,False,False,False,False,2,316,31,True,1
False,False,False,False,False,3523,2726,18407,True,1
False,False,False,True,False,0,10,79,True,1
False,False,False,False,False,2,362,39,True,1
True,True,True,False,False,33,13,1136,True,1
True,False,False,False,False,7,30,2,True,1
False,False,False,True,False,570,0,5096,True,1
False,False,False,False,False,993,4992,108,True,1
True,True,True,True,False,3153,103,288368,True,1
False,False,False,False,False,209,578,130,True,1
False,False,True,True,False,15659,0,849518,True,1
False,False,False,False,False,17,1926,369,True,1
False,False,False,False,False,99,563,46,True,1
False,False,True,False,False,34,1,41492,True,1
False,False,False,False,False,0,37,0,True,1
False,False,True,True,False,492,14,107,True,1
True,True,False,False,False,69,1513,1,True,1
False,False,True,True,False,6,0,1066,True,1
True,True,True,True,False,43536,1,104405,True,1
False,False,False,True,False,712,623,38905,True,1
True,True,False,False,False,153,0,144271,True,1
True,True,True,False,False,119,0,1761,True,1
False,True,True,True,False,9,1,2983,True,1
True,True,True,True,False,41,8,2,True,1
True,False,False,True,False,213,0,5685,True,1
False,True,False,False,False,463,14,2754,True,1
False,False,False,False,False,17,215,1,True,1
False,False,False,False,False,90,22,29724,True,1
False,False,False,False,False,93,95,23391,True,1
False,False,False,False,False,20,1867,397,True,1
False,True,True,True,False,153,2,391,True,1
True,True,True,True,False,119,1,18719,True,1
False,False,False,False,False,27,1928,355,True,1
False,False,False,False,False,0,25,0,True,1
True,True,True,True,False,12,0,251,True,1
False,False,False,False,False,978,2104,114,True,1
True,False,True,True,False,575,0,4204,True,1
False,False,False,False,False,1,69,11,True,1
False,False,False,False,False,0,67,0,True,1
False,False,False,True,False,1514,4218,522,True,1
False,False,False,False,False,55,2,759,True,1
False,False,False,False,False,41056,304,63307,True,1
True,True,False,True,False,2097,4,47707,True,1
False,False,False,False,False,2399,4936,5581,True,1
True,True,True,True,False,27728,65,16231,True,1
True,True,True,False,False,42,0,964,True,1
True,True,True,False,False,110,111,3609,True,1
False,False,True,True,False,4294,7,72621,True,1
False,False,True,False,False,0,264,20,True,1
True,True,True,True,False,340,0,188270,True,1
True,True,True,False,False,1902,3,95201,True,1
False,True,False,False,False,493,7,2964,True,1
False,False,True,False,False,39,0,208,True,1
False,False,True,False,False,190,657,594,True,1
False,False,True,False,False,557,3,440,True,1
True,True,True,False,False,1651,1,1599,True,1
True,True,False,True,False,202,8,2978,True,1
True,False,False,False,False,986,1,30417,True,1
False,False,False,True,False,957,2826,4413,True,1
False,False,False,False,False,3,343,41,True,1
False,False,False,False,False,0,148,17,True,1
False,True,True,False,False,372,4815,2,True,1
False,False,False,True,False,7503,0,108527,True,1
True,True,True,True,False,10407,11555,25783,True,1
True,True,True,True,False,1511,138,30161,True,1
True,False,True,True,False,29,1,105,True,1
False,False,True,False,False,253,0,40184,True,1
False,False,False,False,False,1174,19,1145,True,1
True,True,True,True,False,6805,88,3272,True,1
False,False,False,False,False,1,280,16,True,1
False,False,True,False,False,943,1,14074,True,1
False,True,False,False,False,79,0,40308,True,1
True,True,True,True,False,302,1,2953,True,1
False,False,False,False,True,10684,158,91,True,1
False,False,False,False,False,75,0,6414,True,1
False,True,True,False,False,158,2410,1,True,1
False,False,True,False,False,7,1,5856,True,1
False,False,False,True,False,1,387,44,True,1
False,False,True,False,False,101,1,1281,True,1
False,False,False,False,False,133,271,18,True,1
True,False,True,False,False,280,0,717,True,1
False,False,True,True,False,299,1,3855,True,1
True,True,False,True,False,3738,7,59713,True,1
False,False,False,True,False,4,0,127,True,1
False,False,False,False,False,1,41,1,True,1
True,True,True,True,False,180,4,5265,True,1
False,False,True,True,False,280,0,6413,True,1
True,True,True,False,False,36,1,3649,True,1
False,False,True,False,False,632,0,2822,True,1
False,False,False,False,False,1,30,106,True,1
False,False,True,False,False,371,5,70202,True,1
False,False,False,True,False,17,564,4,True,1
False,False,False,False,False,20,287,1,True,1
False,False,True,False,False,412,15,46926,True,1
True,True,True,True,False,533,0,7145,True,1
False,False,False,True,False,2623,5,3952,True,1
True,True,True,True,False,202,1,1678,True,1
False,False,True,False,False,98,24,3336,True,1
True,True,True,True,False,694,0,22368,True,1
False,False,False,False,False,168,2,12406,True,1
False,False,True,False,False,147,0,96,True,1
False,False,False,False,False,4087,1,3549,True,1
False,False,False,True,False,75,4,1770,True,1
False,False,True,False,False,8,669,177,True,1
False,False,False,False,False,237,1,27579,True,1
False,False,False,False,False,0,60,0,True,1
False,False,False,False,False,8,91,18,True,1
False,False,False,False,False,702,1359,94409,True,1
True,True,True,True,False,129,4,1168,True,1
False,True,False,False,False,292,2225,0,True,1
False,False,False,False,False,0,461,93,True,1
False,False,False,False,False,4,445,80,True,1
False,False,False,False,False,1,258,14,True,1
True,True,True,True,False,99,0,1665,True,1
False,False,True,True,False,66,2,432,True,1
False,False,False,True,False,752,0,21132,True,1
True,True,True,True,False,15,3,854,True,1
False,False,True,False,False,1902,94,21114,True,1
True,False,False,True,False,5744,3,105941,True,1
False,False,False,False,False,1,162,0,True,1
False,False,False,False,False,8,0,41,True,1
False,False,False,False,False,52,222,1,True,1
False,False,True,False,False,421,1636,4701,True,1
True,True,False,True,False,413,148,22,True,1
True,False,True,False,False,1479,3,32440,True,1
False,False,True,False,False,252,2,15823,True,1
False,False,True,False,False,163,206,502,True,1
False,False,False,False,False,3,30,1,True,1
True,True,True,False,False,65,0,10069,True,1
True,False,True,False,False,6766,3006,79860,True,1
False,False,False,False,False,1637,1770,66824,True,1
True,True,True,True,False,116,0,8421,True,1
False,False,False,False,False,24,712,22,True,1
False,False,False,False,False,239,344,9347,True,1
False,False,True,False,False,8073,1,29984,True,1
False,False,False,False,False,29,97,3,True,1
False,False,False,False,False,0,20,0,True,1
False,False,False,False,False,372,1136,46,True,1
True,True,True,True,False,6,0,2751,True,1
True,True,True,False,False,16748,41,837,True,1
True,False,False,True,False,204,0,23502,True,1
False,True,False,True,False,12853,13,4874,True,1
False,False,True,True,False,16,3,119,True,1
False,False,False,False,True,592885,13699,51157,True,1
False,False,False,True,False,36,0,394,True,1
False,False,False,False,False,392,0,1325,True,1
True,True,True,True,False,5476,385,5846,True,1
True,False,False,False,False,22,2107,387,True,1
False,False,False,False,False,3,230,25,True,1
False,False,False,False,False,2,352,44,True,1
False,False,True,False,False,51,0,13622,True,1
False,False,False,False,False,61,3,6000,True,1
False,False,True,False,False,3569,6,2459,True,1
False,False,False,False,False,2,262,19,True,1
False,False,False,False,False,11,201,5,True,1
False,False,False,False,False,1226,2636,664,True,1
False,False,False,False,False,1,455,121,True,1
True,True,False,True,False,57,1,79525,True,1
True,True,False,False,False,1211,1,160,True,1
False,False,False,False,False,0,338,35,True,1
False,False,False,False,False,0,98,2,True,1
False,False,True,True,False,131,1,1622,True,1
False,False,True,False,False,247,0,17811,True,1
False,False,True,False,False,85,13,115,True,1
True,True,True,False,False,284,29,4865,True,1
False,False,False,False,False,5259,3881,545,True,1
False,False,True,False,False,176,16,5040,True,1
False,False,True,True,False,66,1,2989,True,1
True,True,True,True,False,36,0,416,True,1
False,False,True,True,False,633,43,1627,True,1
False,False,False,False,False,7,163,1,True,1
False,True,True,False,False,55,1343,0,True,1
False,False,False,False,False,5,505,114,True,1
False,True,True,True,False,5730,951,16205,True,1
True,True,False,True,False,4956,7,2179,True,1
False,False,False,False,False,2,350,21,True,1
True,True,True,True,False,533,2,1056,True,1
False,False,False,False,False,8,725,191,True,1
True,True,False,True,False,98,8,3375,True,1
False,False,False,False,False,29,0,2839,True,1
False,False,False,False,False,2,14,1,True,1
False,False,True,False,False,461,95,115356,True,1
True,True,True,False,False,601,0,24135,True,1
False,False,True,False,False,912,1164,23106,True,1
False,False,True,True,False,236,0,9719,True,1
False,False,False,False,False,85,4707,4,True,1
True,True,False,False,False,14491,134,2497530,True,1
True,True,True,True,False,281,0,879,True,1
True,False,True,True,False,60,11,4882,True,1
True,False,True,True,False,10,1,787,True,1
False,True,False,False,False,174,6,1699,True,1
